 H    + hν  , → , H⁺    + e⁻            , Photoionization ,
 C⁺    + C₂H₆     , → , C₂H₅⁺ + CH            , 1.70 × 10⁻¹⁰ , R60 in Kim and Fox [1994] 
 C⁺    + C₂H₆     , → , C₃H₃⁺ + H   +  H₂     , 8.50 × 10⁻¹⁰ , R61 in Kim and Fox [1994] 
 CH⁺   + H        , → , C⁺    + H₂            , 7.50 × 10⁻¹⁰ , R62 in Kim and Fox [1994] 
 CH⁺   + H₂       , → , CH₂⁺  + H             , 1.20 × 10⁻⁹ , R63 in Kim and Fox [1994] 
 CH⁺   + CH₄      , → , C₂H₄⁺ + H             , 6.50 × 10⁻¹¹ , R64 in Kim and Fox [1994] 
 CH⁺   + CH₄      , → , C₂H₃⁺ + H₂            , 1.10 × 10⁻⁹ , R65 in Kim and Fox [1994] 
 CH⁺   + CH₄      , → , C₂H₂⁺ + H   +  H₂     , 1.40 × 10⁻¹⁰ , R66 in Kim and Fox [1994] 
 CH⁺   + C₂H₂     , → , C₃H₂⁺ + H             , 2.40 × 10⁻⁹ , R67 in Kim and Fox [1994] 
 CH₂⁺  + H₂       , → , CH₃⁺  + H             , 1.60 × 10⁻⁹ , R68 in Kim and Fox [1994] 
 CH₂⁺  + CH₄      , → , C₂H₅⁺ + H             , 3.60 × 10⁻¹⁰ , R69 in Kim and Fox [1994] 
 CH₂⁺  + CH₄      , → , C₂H₄⁺ + H₂            , 8.40 × 10⁻¹⁰ , R70 in Kim and Fox [1994] 
 CH₂⁺  + C₂H₂     , → , C₃H₃⁺ + H             , 2.50 × 10⁻⁹ , R71 in Kim and Fox [1994] 
 CH₃⁺  + CH₄      , → , C₂H₅⁺ + H₂            , 1.20 × 10⁻⁹ , R72 in Kim and Fox [1994] 
 CH₃⁺  + C₂H₂     , → , C₃H₃⁺ + H₂            , 1.20 × 10⁻⁹ , R73 in Kim and Fox [1994] 
 CH₃⁺  + C₂H₄     , → , C₂H₃⁺ + CH₄           , 3.50 × 10⁻¹⁰ , R74 in Kim and Fox [1994] 
 CH₃⁺  + C₂H₄     , → , C₃H₃⁺ + H₂  +  H₂     , 4.60 × 10⁻¹¹ , R75 in Kim and Fox [1994] 
 CH₃⁺  + C₂H₄     , → , C₃H₅⁺ + H₂            , 5.20 × 10⁻¹⁰ , R76 in Kim and Fox [1994] 
 CH₃⁺  + C₂H₆     , → , C₂H₅⁺ + CH₄           , 1.50 × 10⁻⁹ , R77 in Kim and Fox [1994] 
 CH₃⁺  + C₂H₆     , → , C₃H₅⁺ + H₂  +  H₂     , 1.60 × 10⁻¹⁰ , R78 in Kim and Fox [1994] 
 CH₃⁺  + C₂H₆     , → , C₃H₇⁺ + H₂            , 1.00 × 10⁻¹⁰ , R79 in Kim and Fox [1994] 
 CH₄⁺  + H₂       , → , CH₅⁺  + H             , 3.0 × 10⁻¹¹ , R80 in Kim and Fox [1994] 
 CH₄⁺  + CH₄      , → , CH₅⁺  + CH₃           , 1.50 × 10⁻⁹ , R81 in Kim and Fox [1994] 
 CH₄⁺  + C₂H₂     , → , C₂H₂⁺ + CH₄           , 1.13 × 10⁻⁹ , R82 in Kim and Fox [1994] 
 CH₄⁺  + C₂H₂     , → , C₂H₃⁺ + CH₃           , 1.23 × 10⁻⁹ , R83 in Kim and Fox [1994] 
 CH₄⁺  + C₂H₂     , → , C₃H₃⁺ + H   +  H₂     , 1.51 × 10⁻¹⁰ , R84 in Kim and Fox [1994] 
 CH₄⁺  + C₂H₄     , → , C₂H₄⁺ + CH₄           , 1.38 × 10⁻⁹ , R85 in Kim and Fox [1994] 
 CH₄⁺  + C₂H₄     , → , C₂H₅⁺ + CH₃           , 4.23 × 10⁻¹⁰ , R86 in Kim and Fox [1994] 
 CH₄⁺  + C₂H₄     , → , C₃H₅⁺ + H   +  H₂     , 5.52 × 10⁻¹¹ , R87 in Kim and Fox [1994] 
 CH₄⁺  + C₂H₆     , → , C₂H₄⁺ + CH₄ +  H₂     , 1.91 × 10⁻⁹ , R88 in Kim and Fox [1994] 
 CH₅⁺  + H        , → , CH₄⁺  + H₂            , 1.50 × 10⁻¹⁰ , R89 in Kim and Fox [1994] 
 CH₅⁺  + C₂H₂     , → , C₂H₃⁺ + CH₄           , 1.56 × 10⁻⁹ , R90 in Kim and Fox [1994] 
 CH₅⁺  + C₂H₄     , → , C₂H₅⁺ + CH₄           , 1.50 × 10⁻⁹ , R91 in Kim and Fox [1994] 
 CH₅⁺  + C₂H₆     , → , C₂H₅⁺ + CH₄ +  H₂     , 2.25 × 10⁻¹⁰ , R92 in Kim and Fox [1994] 
 CH₅⁺  + C₂H₆     , → , C₂H₇⁺ + CH₄           , 1.28 × 10⁻⁹ , R93 in Kim and Fox [1994] 
 C₂⁺   + H₂       , → , C₂H⁺  + H             , 1.20 × 10⁻⁹ , R94 in Kim and Fox [1994] 
 C₂⁺   + CH₄      , → , C₂H⁺  + CH₃           , 2.38 × 10⁻¹⁰ , R95 in Kim and Fox [1994] 
 C₂⁺   + CH₄      , → , C₂H₂⁺ + CH₂           , 1.82 × 10⁻¹⁰ , R96 in Kim and Fox [1994] 
 C₂⁺   + CH₄      , → , C₃H⁺  + H   +  H₂     , 1.96 × 10⁻¹⁰ , R97 in Kim and Fox [1994] 
 C₂⁺   + CH₄      , → , C₃H₂⁺ + H₂            , 5.74 × 10⁻¹⁰ , R98 in Kim and Fox [1994] 
 C₂⁺   + CH₄      , → , C₃H₃⁺ + H             , 2.10 × 10⁻¹⁰ , R99 in Kim and Fox [1994] 
 C₂⁺   + C₂H₂     , → , C₄H⁺  + H             , 1.20 × 10⁻⁹ , R100 in Kim and Fox [1994] 
 C₂⁺   + C₂H₄     , → , products              , 1.90 × 10⁻⁹ , R101 in Kim and Fox [1994] 
 C₂H⁺  + H₂       , → , C₂H₂⁺ + H             , 1.70 × 10⁻⁹ , R102 in Kim and Fox [1994] 
 C₂H⁺  + CH₄      , → , C₂H₂⁺ + CH₃           , 3.74 × 10⁻¹⁰ , R103 in Kim and Fox [1994] 
 C₂H⁺  + CH₄      , → , C₃H₃⁺ + H₂            , 3.74 × 10⁻¹⁰ , R104 in Kim and Fox [1994] 
 C₂H⁺  + CH₄      , → , C₃H₄⁺ + H             , 1.32 × 10⁻¹⁰ , R105 in Kim and Fox [1994] 
 C₂H⁺  + CH₄      , → , C₃H₅⁺                 , 2.20 × 10⁻¹⁰ , R106 in Kim and Fox [1994] 
 C₂H⁺  + C₂H₂     , → , C₄H₂⁺ + H             , 1.20 × 10⁻⁹ , R107 in Kim and Fox [1994] 
 C₂H⁺  + C₂H₄     , → , products              , 1.71 × 10⁻⁹ , R108 in Kim and Fox [1994] 
 C₂H₂⁺ + H₂       , → , C₂H₃⁺ + H             , 1.80 × 10⁻¹² , R109 in Kim and Fox [1994] 
 C₂H₂⁺ + CH₄      , → , C₃H₄⁺ + H₂            , 1.60 × 10⁻¹⁰ , R110 in Kim and Fox [1994] 
 C₂H₂⁺ + CH₄      , → , C₃H₅⁺ + H             , 6.40 × 10⁻¹⁰ , R111 in Kim and Fox [1994] 
 C₂H₂⁺ + C₂H₂     , → , C₄H₂⁺ + H₂            , 5.16 × 10⁻¹⁰ , R112 in Kim and Fox [1994] 
