#
#
#
#---------------------------------------------------------------
# DATAFILE:   NO2_Vandaele(1998)_220K_238-667nm.txt
# NAME:   nitrogen dioxide
# FORMULA:    NO2
# AUTHOR(YEAR):   Vandaele(1998)
# T:  220K, 294K
# λ:  238-667nm
# BIBLIOGRAPHY:   A.C. Vandaele, C. Hermans, P.C. Simon, M. Carleer, R. Colins, S. Fally, 
# M.F. Mérienne, A. Jenouvrier, and B. Coquart, 
# "Measurements of the NO2 absorption cross-sections from 42000 cm-1 to 10000 cm-1 (238-1000 nm) at 220 K and 294 K", 
# J. Quant. Spectrosc. Radiat. Transfer 59, 171-184 (1998); DOI: 10.1016/S0022-4073(97)00168-4
# COMMENTS:   Absorption measurements using a Fourier transform spectrometer at a spectral resolution of 2 cm-1 
# (0.01 nm at 240 nm to 0.2 nm at 1000 nm)
# Data file from the webpage of the Belgian Institute for Space Aeronomy
# http://spectrolab.aeronomie.be/index.htm
#
# data is downloaded from Spectral Atlas
#  Keller-Rudek, H., Moortgat, G. K., Sander, R., and Sörensen, R.: 
#  The MPI-Mainz UV/VIS spectral atlas of gaseous molecules of atmospheric interest, 
#  Earth Syst. Sci. Data, 5, 365–373, (2013), DOI: 10.5194/essd-5-365-2013
# 
# Non diluted NO2
# temperature = 220 K, 294 K
# pressures: from 0.007 to 2 torr
# path lengths: 20 and 60 m
# 
#  nm         220 K          294 K
 214.00     4.26E-19      4.26E-19
 214.13     4.28E-19      4.28E-19
 214.25     4.18E-19      4.18E-19
 214.38     4.21E-19      4.21E-19
 214.50     4.22E-19      4.22E-19
 214.63     4.30E-19      4.30E-19
 214.75     4.26E-19      4.26E-19
 214.88     4.25E-19      4.25E-19
 215.00     4.02E-19      4.02E-19
 215.13     3.97E-19      3.97E-19
 215.25     4.11E-19      4.11E-19
 215.38     3.97E-19      3.97E-19
 215.50     3.99E-19      3.99E-19
 215.63     4.13E-19      4.13E-19
 215.75     4.25E-19      4.25E-19
 215.88     4.54E-19      4.54E-19
 216.00     4.64E-19      4.64E-19
 216.13     4.76E-19      4.76E-19
 216.25     4.79E-19      4.79E-19
 216.38     4.86E-19      4.86E-19
 216.50     4.84E-19      4.84E-19
 216.63     4.87E-19      4.87E-19
 216.75     4.98E-19      4.98E-19
 216.88     4.98E-19      4.98E-19
 217.00     4.99E-19      4.99E-19
 217.13     5.00E-19      5.00E-19
 217.25     4.95E-19      4.95E-19
 217.38     4.84E-19      4.84E-19
 217.50     4.71E-19      4.71E-19
 217.63     4.71E-19      4.71E-19
 217.75     4.54E-19      4.54E-19
 217.88     4.45E-19      4.45E-19
 218.00     4.37E-19      4.37E-19
 218.13     4.17E-19      4.17E-19
 218.25     4.21E-19      4.21E-19
 218.38     4.20E-19      4.20E-19
 218.50     4.16E-19      4.16E-19
 218.63     4.27E-19      4.27E-19
 218.75     4.18E-19      4.18E-19
 218.88     4.16E-19      4.16E-19
 219.00     3.92E-19      3.92E-19
 219.13     3.85E-19      3.85E-19
 219.25     3.89E-19      3.89E-19
 219.38     3.79E-19      3.79E-19
 219.50     3.70E-19      3.70E-19
 219.63     3.78E-19      3.78E-19
 219.75     3.82E-19      3.82E-19
 219.88     3.91E-19      3.91E-19
 220.00     3.96E-19      3.96E-19
 220.13     4.09E-19      4.09E-19
 220.25     4.03E-19      4.03E-19
 220.38     4.18E-19      4.18E-19
 220.50     4.33E-19      4.33E-19
 220.63     4.56E-19      4.56E-19
 220.75     4.66E-19      4.66E-19
 220.88     4.83E-19      4.83E-19
 221.00     4.88E-19      4.88E-19
 221.13     4.87E-19      4.87E-19
 221.25     4.85E-19      4.85E-19
 221.38     4.79E-19      4.79E-19
 221.50     4.88E-19      4.88E-19
 221.63     4.85E-19      4.85E-19
 221.75     4.73E-19      4.73E-19
 221.88     4.79E-19      4.79E-19
 222.00     4.66E-19      4.66E-19
 222.13     4.55E-19      4.55E-19
 222.25     4.53E-19      4.53E-19
 222.38     4.27E-19      4.27E-19
 222.50     4.11E-19      4.11E-19
 222.63     4.17E-19      4.17E-19
 222.75     4.04E-19      4.04E-19
 222.88     3.92E-19      3.92E-19
 223.00     3.75E-19      3.75E-19
 223.13     3.56E-19      3.56E-19
 223.25     3.56E-19      3.56E-19
 223.38     3.50E-19      3.50E-19
 223.50     3.50E-19      3.50E-19
 223.63     3.42E-19      3.42E-19
 223.75     3.48E-19      3.48E-19
 223.88     3.47E-19      3.47E-19
 224.00     3.50E-19      3.50E-19
 224.13     3.58E-19      3.58E-19
 224.25     3.63E-19      3.63E-19
 224.38     3.62E-19      3.62E-19
 224.50     3.37E-19      3.37E-19
 224.63     3.41E-19      3.41E-19
 224.75     3.23E-19      3.23E-19
 224.88     3.26E-19      3.26E-19
 225.00     3.24E-19      3.24E-19
 225.13     3.16E-19      3.16E-19
 225.25     3.26E-19      3.26E-19
 225.38     3.43E-19      3.43E-19
 225.50     3.60E-19      3.60E-19
 225.63     3.74E-19      3.74E-19
 225.75     4.06E-19      4.06E-19
 225.88     4.21E-19      4.21E-19
 226.00     4.46E-19      4.46E-19
 226.13     4.67E-19      4.67E-19
 226.25     4.75E-19      4.75E-19
 226.38     4.65E-19      4.65E-19
 226.50     4.57E-19      4.57E-19
 226.63     4.38E-19      4.38E-19
 226.75     4.18E-19      4.18E-19
 226.88     3.95E-19      3.95E-19
 227.00     3.68E-19      3.68E-19
 227.13     3.51E-19      3.51E-19
 227.25     3.36E-19      3.36E-19
 227.38     3.15E-19      3.15E-19
 227.50     3.05E-19      3.05E-19
 227.63     2.81E-19      2.81E-19
 227.75     2.83E-19      2.83E-19
 227.88     2.86E-19      2.86E-19
 228.00     2.94E-19      2.94E-19
 228.13     2.90E-19      2.90E-19
 228.25     2.80E-19      2.80E-19
 228.38     2.98E-19      2.98E-19
 228.50     2.93E-19      2.93E-19
 228.63     2.86E-19      2.86E-19
 228.75     2.71E-19      2.71E-19
 228.88     2.73E-19      2.73E-19
 229.00     2.57E-19      2.57E-19
 229.13     2.50E-19      2.50E-19
 229.25     2.39E-19      2.39E-19
 229.38     2.26E-19      2.26E-19
 229.50     2.20E-19      2.20E-19
 229.63     2.20E-19      2.20E-19
 229.75     2.23E-19      2.23E-19
 229.88     2.24E-19      2.24E-19
 230.00     2.43E-19      2.43E-19
 230.13     2.47E-19      2.47E-19
 230.25     2.59E-19      2.59E-19
 230.38     2.69E-19      2.69E-19
 230.50     2.63E-19      2.63E-19
 230.63     2.81E-19      2.81E-19
 230.75     2.90E-19      2.90E-19
 230.88     2.92E-19      2.92E-19
 231.00     3.09E-19      3.09E-19
 231.13     3.05E-19      3.05E-19
 231.25     3.06E-19      3.06E-19
 231.38     3.01E-19      3.01E-19
 231.50     2.93E-19      2.93E-19
 231.63     2.81E-19      2.81E-19
 231.75     2.80E-19      2.80E-19
 231.88     2.65E-19      2.65E-19
 232.00     2.66E-19      2.66E-19
 232.13     2.57E-19      2.57E-19
 232.25     2.59E-19      2.59E-19
 232.38     2.67E-19      2.67E-19
 232.50     2.79E-19      2.79E-19
 232.63     2.77E-19      2.77E-19
 232.75     2.69E-19      2.69E-19
 232.88     2.57E-19      2.57E-19
 233.00     2.39E-19      2.39E-19
 233.13     2.27E-19      2.27E-19
 233.25     2.11E-19      2.11E-19
 233.38     1.91E-19      1.91E-19
 233.50     1.74E-19      1.74E-19
 233.63     1.59E-19      1.59E-19
 233.75     1.43E-19      1.43E-19
 233.88     1.37E-19      1.37E-19
 234.00     1.32E-19      1.32E-19
 234.13     1.29E-19      1.29E-19
 234.25     1.29E-19      1.29E-19
 234.38     1.26E-19      1.26E-19
 234.50     1.15E-19      1.15E-19
 234.63     1.04E-19      1.04E-19
 234.75     1.07E-19      1.07E-19
 234.88     1.26E-19      1.26E-19
 235.00     1.48E-19      1.48E-19
 235.13     1.52E-19      1.52E-19
 235.25     1.84E-19      1.84E-19
 235.38     2.08E-19      2.08E-19
 235.50     2.06E-19      2.06E-19
 235.63     1.93E-19      1.93E-19
 235.75     1.66E-19      1.66E-19
 235.88     1.56E-19      1.56E-19
 236.00     1.40E-19      1.40E-19
 236.13     1.31E-19      1.31E-19
 236.25     1.38E-19      1.38E-19
 236.38     1.47E-19      1.47E-19
 236.50     1.58E-19      1.58E-19
 236.63     1.56E-19      1.56E-19
 236.75     1.52E-19      1.52E-19
 236.88     1.48E-19      1.48E-19
 237.00     1.49E-19      1.49E-19
 237.13     1.54E-19      1.54E-19
 237.25     1.59E-19      1.59E-19
 237.38     1.70E-19      1.70E-19
 237.50     1.79E-19      1.79E-19
 237.63     1.81E-19      1.81E-19
 237.75     1.71E-19      1.71E-19
 237.88     1.59E-19      1.59E-19
 238.00     1.44E-19      1.44E-19
 238.08219  0.417771E-18  0.728791E-19
 238.08766  0.411430E-18  0.124770E-18
 238.09313  0.405209E-18  0.924153E-19
 238.09859  0.399187E-18  0.854456E-19
 238.10406  0.393435E-18  0.889844E-19
 238.10953  0.388022E-18  0.114392E-18
 238.11500  0.383004E-18  0.964958E-19
 238.12047  0.378434E-18  0.786166E-19
 238.12594  0.374350E-18  0.104254E-18
 238.13141  0.370785E-18  0.921527E-19
 238.13688  0.367760E-18  0.821190E-19
 238.14235  0.365289E-18  0.890952E-19
 238.14782  0.363374E-18  0.895734E-19
 238.15329  0.362013E-18  0.929822E-19
 238.15876  0.361197E-18  0.887247E-19
 238.16423  0.360912E-18  0.814478E-19
 238.16970  0.361140E-18  0.782888E-19
 238.17517  0.361861E-18  0.849217E-19
 238.18065  0.363054E-18  0.853936E-19
 238.18612  0.364699E-18  0.692084E-19
 238.19159  0.366775E-18  0.850681E-19
 238.19706  0.369264E-18  0.939094E-19
 238.20254  0.372148E-18  0.823614E-19
 238.20801  0.375409E-18  0.113264E-18
 238.21348  0.379033E-18  0.734014E-19
 238.21896  0.383001E-18  0.100547E-18
 238.22443  0.387295E-18  0.906660E-19
 238.22990  0.391893E-18  0.878402E-19
 238.23538  0.396770E-18  0.115573E-18
 238.24085  0.401893E-18  0.106514E-18
 238.24633  0.407223E-18  0.927852E-19
 238.25180  0.412713E-18  0.843876E-19
 238.25728  0.418305E-18  0.114041E-18
 238.26275  0.423934E-18  0.100841E-18
 238.26823  0.429522E-18  0.863231E-19
 238.27371  0.434984E-18  0.833253E-19
 238.27918  0.440226E-18  0.840437E-19
 238.28466  0.445149E-18  0.899486E-19
 238.29014  0.449646E-18  0.764511E-19
 238.29561  0.453611E-18  0.105968E-18
 238.30109  0.456938E-18  0.974686E-19
 238.30657  0.459526E-18  0.861500E-19
 238.31205  0.461282E-18  0.990698E-19
 238.31752  0.462125E-18  0.802503E-19
 238.32300  0.461987E-18  0.819782E-19
 238.32848  0.460820E-18  0.865921E-19
 238.33396  0.458600E-18  0.812479E-19
 238.33944  0.455322E-18  0.100765E-18
 238.34492  0.451010E-18  0.856615E-19
 238.35040  0.445713E-18  0.729200E-19
 238.35588  0.439508E-18  0.807719E-19
 238.36136  0.432498E-18  0.780250E-19
 238.36684  0.424808E-18  0.779734E-19
 238.37232  0.416588E-18  0.800467E-19
 238.37780  0.408004E-18  0.850039E-19
 238.38328  0.399236E-18  0.845071E-19
 238.38876  0.390474E-18  0.709710E-19
 238.39425  0.381912E-18  0.863604E-19
 238.39973  0.373741E-18  0.761941E-19
 238.40521  0.366144E-18  0.817403E-19
 238.41069  0.359291E-18  0.848143E-19
 238.41617  0.353332E-18  0.753320E-19
 238.42166  0.348395E-18  0.785128E-19
 238.42714  0.344577E-18  0.932356E-19
 238.43262  0.341943E-18  0.834269E-19
 238.43811  0.340525E-18  0.836115E-19
 238.44359  0.340319E-18  0.933489E-19
 238.44908  0.341283E-18  0.746082E-19
 238.45456  0.343343E-18  0.111490E-18
 238.46005  0.346389E-18  0.920304E-19
 238.46553  0.350283E-18  0.770863E-19
 238.47102  0.354862E-18  0.934703E-19
 238.47650  0.359941E-18  0.832139E-19
 238.48199  0.365324E-18  0.767530E-19
 238.48747  0.370805E-18  0.761274E-19
 238.49296  0.376178E-18  0.904114E-19
 238.49845  0.381242E-18  0.655888E-19
 238.50393  0.385810E-18  0.644704E-19
 238.50942  0.389711E-18  0.799411E-19
 238.51491  0.392800E-18  0.817951E-19
 238.52039  0.394959E-18  0.954786E-19
 238.52588  0.396102E-18  0.787013E-19
 238.53137  0.396178E-18  0.763044E-19
 238.53686  0.395170E-18  0.825250E-19
 238.54235  0.393098E-18  0.720926E-19
 238.54784  0.390013E-18  0.638414E-19
 238.55332  0.386000E-18  0.765834E-19
 238.55881  0.381167E-18  0.854213E-19
 238.56430  0.375648E-18  0.824034E-19
 238.56979  0.369592E-18  0.788635E-19
 238.57528  0.363158E-18  0.776122E-19
 238.58077  0.356512E-18  0.713667E-19
 238.58626  0.349815E-18  0.798906E-19
 238.59176  0.343219E-18  0.710120E-19
 238.59725  0.336863E-18  0.851021E-19
 238.60274  0.330865E-18  0.796453E-19
 238.60823  0.325319E-18  0.817781E-19
 238.61372  0.320292E-18  0.705796E-19
 238.61921  0.315817E-18  0.654727E-19
 238.62471  0.311901E-18  0.895564E-19
 238.63020  0.308516E-18  0.724469E-19
 238.63569  0.305607E-18  0.759612E-19
